27.05.2019 11:15:28:267;Ax=4,87930081173745;Ay=4,9933473567913;Az=0,0532727675993332;rx=87,3981784372116;ry=87,408040272262;rz=88,0925834817312;Vx=4,87930081173745;Vy=4,9933473567913;Vz=0,0532727675993332;cx=-0,203063942062698;cy=-0,0064398485847903;latitude=39,9226435651858;longitude=131,368466416541;
27.05.2019 11:15:28:376;Ax=4,88604840537815;Ay=4,71605532742853;Az=-0,0168798944292963;rx=87,2166564509816;ry=89,6280170002151;rz=89,3505860193868;Vx=9,7653492171156;Vy=9,70940268421984;Vz=0,0363928731700369;cx=-0,135636296652088;cy=-0,198703816008617;latitude=39,9227307558038;longitude=131,368379725446;
27.05.2019 11:15:28:485;Ax=4,64848779498063;Ay=4,7225786027138;Az=0,0657171664367047;rx=88,9557402052245;ry=85,7205643904025;rz=87,3122670393494;Vx=14,4138370120962;Vy=14,4319812869336;Vz=0,102110039606742;cx=-0,0659332707831339;cy=-0,0579432675768388;latitude=39,9228594507772;longitude=131,36825086847;
27.05.2019 11:15:28:595;Ax=4,96681932451521;Ay=4,94620215867004;Az=0,12365912616889;rx=88,9591344443425;ry=86,2130064406493;rz=86,4495666560016;Vx=19,3806563366114;Vy=19,3781834456037;Vz=0,225769165775631;cx=-0,0324721199727946;cy=-0,131390460467145;latitude=39,9230324923516;longitude=131,368077848975;
27.05.2019 11:15:28:720;Ax=4,51421080483785;Ay=4,97948987827613;Az=-0,245028212897027;rx=88,1354948424899;ry=86,6108772773812;rz=87,0183540433731;Vx=23,8948671414493;Vy=24,3576733238798;Vz=-0,0192590471213956;cx=-0,067637348893399;cy=-0,150823169877206;latitude=39,9232458393796;longitude=131,367860369749;
27.05.2019 11:15:28:845;Ax=4,67534213800698;Ay=4,70404981249201;Az=-0,090637067724316;rx=85,8372641845314;ry=86,7505009752933;rz=88,7903703727249;Vx=28,5702092794563;Vy=29,0617231363718;Vz=-0,109896114845712;cx=-0,0702141966532039;cy=-0,018946432563915;latitude=39,9235009305339;longitude=131,367600890078;
27.05.2019 11:15:28:954;Ax=4,50102612981621;Ay=4,57481714830493;Az=-0,138859081263123;rx=89,3575500188663;ry=89,3462915743451;rz=87,4695937631045;Vx=33,0712354092725;Vy=33,6365402846767;Vz=-0,248755196108834;cx=-0,119930744029084;cy=-0,144927986685616;latitude=39,9237962094215;longitude=131,367300563826;
27.05.2019 11:15:29:63;Ax=4,63986573630938;Ay=4,93203558443675;Az=-0,00591060926947318;rx=87,8922208442316;ry=89,2296513462112;rz=86,9795867144035;Vx=37,7111011455819;Vy=38,5685758691135;Vz=-0,254665805378307;cx=-0,0420901706172572;cy=-0,0987565503799175;latitude=39,9241329156817;longitude=131,366956201541;
27.05.2019 11:15:29:188;Ax=4,78821559403474;Ay=4,52509890660881;Az=-0,073471199173234;rx=89,81260809573;ry=89,30583993546;rz=89,1517792244683;Vx=42,4993167396166;Vy=43,0936747757223;Vz=-0,328137004551541;cx=-0,0292476798776775;cy=-0,00909819442736648;latitude=39,9245123738669;longitude=131,366571436588;
27.05.2019 11:15:29:293;Ax=4,8728838224769;Ay=4,65087976616383;Az=-0,0413710040931452;rx=88,3841160779745;ry=85,8780006488683;rz=88,3440703998059;Vx=47,3722005620935;Vy=47,7445545418861;Vz=-0,369508008644686;cx=-0,120468316341501;cy=-0,179449822604397;latitude=39,9249353399434;longitude=131,366145145922;
27.05.2019 11:15:29:403;Ax=4,60223370678827;Ay=4,91576230964426;Az=0,133322141777408;rx=85,5396521059049;ry=89,9492983873697;rz=89,9930075816777;Vx=51,9744342688818;Vy=52,6603168515304;Vz=-0,236185866867278;cx=-0,0987050391844022;cy=-0,0920848259781906;latitude=39,9253993973922;longitude=131,365674964522;
